iter	Passed	Remaining
0	136	52004
1	140	26777
2	144	18297
3	150	14218
4	154	11689
5	159	10034
6	164	8833
7	169	7955
8	174	7242
9	179	6684
10	183	6202
11	188	5830
12	193	5505
13	198	5238
14	203	4991
15	208	4779
16	212	4580
17	217	4416
18	222	4263
19	227	4133
20	232	4000
21	236	3884
22	241	3776
23	245	3678
24	250	3587
25	255	3504
26	259	3425
27	264	3358
28	269	3293
29	275	3237
30	279	3176
31	284	3123
32	290	3079
33	295	3031
34	300	2991
35	305	2942
36	310	2901
37	315	2864
38	321	2831
39	326	2797
40	331	2763
41	335	2724
42	341	2697
43	346	2672
44	353	2654
45	359	2633
46	365	2609
47	371	2592
48	377	2571
49	383	2552
50	388	2530
51	394	2510
52	400	2493
53	406	2477
54	412	2461
55	418	2445
56	424	2429
57	431	2416
58	437	2404
59	442	2383
60	449	2371
61	456	2362
62	461	2346
63	467	2332
64	475	2325
65	483	2322
66	489	2310
67	498	2307
68	504	2295
69	510	2282
70	516	2270
71	523	2263
72	530	2252
73	536	2242
74	544	2235
75	553	2235
76	563	2240
77	571	2234
78	578	2224
79	585	2218
80	592	2210
81	600	2205
82	607	2194
83	614	2187
84	623	2185
85	631	2182
86	638	2171
87	644	2160
88	650	2149
89	657	2139
90	664	2133
91	670	2121
92	677	2113
93	684	2102
94	690	2094
95	698	2089
96	707	2086
97	716	2083
98	724	2078
99	731	2070
100	739	2064
101	747	2058
102	754	2051
103	762	2046
104	770	2039
105	777	2032
106	787	2032
107	793	2021
108	800	2012
109	808	2006
110	815	1998
111	822	1991
112	829	1980
113	836	1973
114	843	1966
115	849	1955
116	855	1944
117	861	1933
118	866	1922
119	872	1911
120	878	1901
121	884	1891
122	890	1883
123	896	1873
124	903	1864
125	909	1855
126	916	1847
127	923	1839
128	931	1833
129	938	1826
130	944	1816
131	950	1807
132	956	1798
133	962	1789
134	969	1781
135	975	1772
136	981	1762
137	988	1754
138	993	1744
139	1000	1736
140	1005	1726
141	1012	1717
142	1017	1708
143	1023	1698
144	1030	1691
145	1036	1682
146	1043	1676
147	1051	1669
148	1061	1666
149	1068	1659
150	1075	1652
151	1081	1644
152	1089	1637
153	1096	1630
154	1102	1621
155	1108	1612
156	1114	1604
157	1121	1596
158	1127	1587
159	1132	1578
160	1138	1570
161	1145	1562
162	1152	1554
163	1158	1546
164	1164	1538
165	1170	1529
166	1175	1520
167	1181	1512
168	1187	1504
169	1194	1496
170	1200	1488
171	1206	1479
172	1212	1471
173	1217	1462
174	1224	1455
175	1230	1447
176	1236	1439
177	1242	1430
178	1248	1422
179	1254	1415
180	1260	1406
181	1266	1398
182	1272	1390
183	1278	1382
184	1284	1374
185	1290	1366
186	1296	1358
187	1302	1350
188	1307	1342
189	1314	1335
190	1320	1327
191	1327	1320
192	1333	1312
193	1339	1305
194	1346	1297
195	1352	1289
196	1358	1282
197	1364	1274
198	1370	1267
199	1376	1259
200	1383	1252
201	1389	1244
202	1395	1237
203	1402	1230
204	1408	1223
205	1414	1215
206	1421	1208
207	1426	1200
208	1434	1193
209	1440	1186
210	1445	1177
211	1451	1170
212	1456	1162
213	1463	1155
214	1468	1147
215	1474	1140
216	1481	1133
217	1487	1125
218	1493	1118
219	1499	1110
220	1504	1103
221	1511	1095
222	1517	1088
223	1523	1081
224	1529	1074
225	1535	1067
226	1541	1059
227	1546	1051
228	1552	1044
229	1558	1036
230	1564	1029
231	1570	1022
232	1576	1015
233	1583	1008
234	1590	1001
235	1596	994
236	1604	988
237	1609	980
238	1616	973
239	1622	966
240	1628	959
241	1634	952
242	1639	944
243	1645	937
244	1651	930
245	1658	923
246	1664	916
247	1670	909
248	1676	902
249	1682	894
250	1688	887
251	1694	880
252	1700	873
253	1705	866
254	1712	859
255	1718	852
256	1724	845
257	1730	838
258	1736	831
259	1742	824
260	1747	817
261	1754	810
262	1760	803
263	1766	796
264	1771	788
265	1777	781
266	1783	774
267	1789	767
268	1795	760
269	1801	753
270	1807	747
271	1814	740
272	1820	733
273	1826	726
274	1831	719
275	1837	712
276	1843	705
277	1848	698
278	1854	691
279	1860	684
280	1866	677
281	1872	670
282	1878	663
283	1884	656
284	1890	649
285	1896	643
286	1901	636
287	1907	629
288	1912	622
289	1918	615
290	1924	608
291	1930	601
292	1935	594
293	1941	587
294	1947	581
295	1953	574
296	1959	567
297	1966	560
298	1972	554
299	1978	547
300	1983	540
301	1989	533
302	1995	526
303	2001	520
304	2007	513
305	2013	506
306	2020	500
307	2026	493
308	2032	486
309	2038	480
310	2044	473
311	2051	466
312	2057	460
313	2064	453
314	2070	446
315	2077	440
316	2084	434
317	2090	427
318	2098	421
319	2104	414
320	2110	407
321	2116	400
322	2121	394
323	2128	387
324	2134	380
325	2140	374
326	2146	367
327	2152	360
328	2158	354
329	2164	347
330	2170	340
331	2176	334
332	2182	327
333	2188	320
334	2193	314
335	2199	307
336	2205	301
337	2212	294
338	2217	287
339	2223	281
340	2229	274
341	2235	268
342	2242	261
343	2248	254
344	2254	248
345	2260	241
346	2265	235
347	2271	228
348	2277	221
349	2283	215
350	2289	208
351	2294	202
352	2300	195
353	2306	188
354	2312	182
355	2317	175
356	2323	169
357	2330	162
358	2336	156
359	2342	149
360	2348	143
361	2354	136
362	2360	130
363	2366	123
364	2372	116
365	2378	110
366	2384	103
367	2390	97
368	2395	90
369	2402	84
370	2408	77
371	2417	71
372	2422	64
373	2428	58
374	2434	51
375	2440	45
376	2445	38
377	2452	32
378	2458	25
379	2465	19
380	2471	12
381	2477	6
382	2483	0
